	HH07	HH17	HH18	HH19	HH27
ABCB11	0	0	0	0	0
ABCB4	60.1120467351496	59.1724101423337	64.0926814260732	59.3089275267545	330.068552963004
ABCB5	0	0	2.06750585245397	0	2.11582405745515
ABCB6	69.9934790751742	87.8340463050265	57.8901638687113	71.1707130321054	93.0962585280267
ABCB7	811.924357272021	849.678826887572	757.740894924382	878.958305946501	946.83126571118
ABCB8	2054.51447403011	1778.87057990391	1840.08020868404	1775.70929015103	1898.952091566
ABCB9	321.970003745801	199.706884230376	552.024062605211	272.821066623071	546.940518852157
ABCC1	5834.16234408952	6845.50819834122	6035.04958331315	6405.36417288948	5022.96631239853
ABCC10	1853.59201644961	1951.76496578854	2128.49727510137	2103.09457009871	2005.80120646748
ABCC11	4.11726347501025	12.0193958101615	13.4387880409508	2.37235710107018	6.34747217236545
ABCC12	3.2938107800082	0	0	0	0
ABCC13	0	0	0	0	0
ABCC2	47.7602563101189	12.9439647186355	24.8100702294477	23.7235710107018	24.3319766607342
ABCC3	863.80187705715	2642.41794041859	2217.40002675689	2028.365321415	1353.06948474257
ABCC4	2050.3972105551	1594.88136711759	2181.21867433894	2141.05228371584	2143.32977020207
ABCC5	2273.55289090066	3179.59247624196	2976.1746746075	3015.2658754602	2017.43823878349
ABCC5-AS1	0	1.84913781694793	0	1.18617855053509	0
ABCC6	13.1752431200328	36.9827563389585	40.3163641228525	29.6544637633772	14.8107684021861
ABCC6P1	1.6469053900041	1.84913781694793	6.20251755736192	0	0
ABCC6P2	11.5283377300287	16.6422403525313	14.4725409671778	16.6064997074913	15.8686804309136
ABCC8	8.23452695002049	0	0	0	0
ABCC9	1530.79856000881	2046.99556336135	789.787235637418	3785.09575475747	742.654244166758
ABCD1	1050.72563882261	1368.36198454147	1554.76440104539	1294.12079863378	1284.30520287528
ABCD2	6.58762156001639	0	0	0	0
ABCD3	3102.76975476772	2030.35332300882	2258.75014380597	2359.30913701429	2842.609621191
ABCD4	1250.00119101311	1736.3404101141	1611.62081198787	1527.7979730892	1244.10454578363
ABCE1	5158.93113418784	3956.23035936009	4252.85953849783	4099.43307064927	5095.96224238073
ABCF1	6342.23265690578	5682.40051148098	6289.35280316499	5527.59204549352	6803.43225674704
ABCF2	1032.60967953257	943.984855551917	1029.61791452208	818.463199869212	821.997646321326
ABCF3	3101.94630207272	3551.26917744849	4067.81776470319	3212.17151484902	2712.4864416575
ABCG1	0	0	0	0	0
ABCG2	32.938107800082	15.7176714440574	49.6201404588954	14.2341426064211	25.3898886894618
ABCG4	12.3517904250307	5.54741345084378	4.13501170490795	16.6064997074913	52.8956014363788
ABCG5	1.6469053900041	3.69827563389585	2.06750585245397	0	0
ABCG8	1.6469053900041	7.39655126779171	2.06750585245397	2.37235710107018	0
ABHD1	0	13.8685336271095	4.13501170490795	9.48942840428072	6.34747217236545
ABHD10	1862.64999609464	1274.05595587712	1514.44803692254	1505.26058062903	1795.2767127507
ABHD11	1177.53735385293	530.702553464055	658.500614006591	614.440489177176	570.214583484163
ABHD12	5860.51283032958	3907.22820721097	4843.13245937343	3483.80640292156	4630.4809497406
ABHD12B	13.9986958150348	6.47198235931774	21.7088114507667	16.6064997074913	14.8107684021861
ABHD13	1014.49372024252	1369.28655344994	1211.55842953803	1111.44930185138	1421.83376660986
ABHD14A	141.633863540352	168.271541342261	108.544057253834	217.070674747921	134.354827648402
ABHD14A-ACY1	4.9407161700123	1.84913781694793	3.10125877868096	0	1.05791202872758
ABHD14B	2490.1209496862	2655.36190513722	3017.52479165658	2952.39841228184	1496.94552064952
ABHD15	447.958266081115	724.862024243587	761.875906629289	684.425023658747	519.43480610524
ABHD16A	106.225397655264	124.816802643985	108.544057253834	106.756069548158	105.791202872758
ABHD16B	0	0	0	0	0
ABHD17A	7109.69056864769	6943.51250263947	7334.47701158047	7192.98673044478	6197.24866428614
ABHD17B	504.776502036256	555.665913992852	824.934835129136	485.147027168852	733.13303590821
